source,line,function,wrapper,recognized_guard_calls
apps/api/convex/contacts/contacts.ts,296,updateNotes,authedMutation,requireOrgPermission
apps/api/convex/contacts/contacts.ts,330,remove,authedMutation,requireOrgPermission
apps/api/convex/contacts/contacts.ts,364,bulkDelete,authedMutation,requireOrgPermission
apps/api/convex/contacts/contacts.ts,427,importBatch,authedMutation,requireOrgPermission
apps/api/convex/contacts/dataExport.ts,24,exportContactData,authedQuery,requireOrgPermission
apps/api/convex/contacts/identities.ts,27,listByContact,authedQuery,
apps/api/convex/contacts/identities.ts,41,getMergeSuggestions,authedQuery,
apps/api/convex/contacts/identities.ts,108,addIdentity,authedMutation,requireOrgPermission
apps/api/convex/contacts/identities.ts,166,removeIdentity,authedMutation,requireOrgPermission
apps/api/convex/contacts/identities.ts,182,verifyIdentity,authedMutation,requireOrgPermission
apps/api/convex/contacts/identities.ts,199,mergeContacts,authedMutation,requireOrgPermission
apps/api/convex/contacts/organization.ts,6,listForExportByOrganization,authedQuery,
apps/api/convex/contacts/organization.ts,47,getPropertyValuesForContacts,authedQuery,
apps/api/convex/contacts/organization.ts,96,listAllIdsByOrganization,authedQuery,
apps/api/convex/contacts/properties.ts,8,listByOrganization,authedQuery,
apps/api/convex/contacts/properties.ts,16,create,authedMutation,requireContactsManage
apps/api/convex/contacts/properties.ts,45,update,authedMutation,requireContactsManage
apps/api/convex/contacts/properties.ts,66,remove,authedMutation,requireContactsManage
apps/api/convex/contacts/propertyValues.ts,21,listByContact,authedQuery,verifyContactExists
apps/api/convex/contacts/propertyValues.ts,35,remove,authedMutation,requireOrgPermission; verifyContactExists
apps/api/convex/contacts/propertyValues.ts,78,countByProperty,authedQuery,
apps/api/convex/contacts/propertyValues.ts,95,bulkSet,authedMutation,requireOrgPermission; verifyContactExists
apps/api/convex/contacts/relationships.ts,21,listByContact,authedQuery,
apps/api/convex/contacts/relationships.ts,68,create,authedMutation,requireContactsManage
apps/api/convex/contacts/relationships.ts,114,updateConfidence,authedMutation,requireContactsManage
apps/api/convex/contacts/relationships.ts,129,remove,authedMutation,requireContactsManage
apps/api/convex/contacts/sunset.ts,33,getSunsetPolicies,authedQuery,requireOrgPermission
apps/api/convex/contacts/sunset.ts,122,confirmSunsetClock,authedMutation,requireOrgPermission
apps/api/convex/contacts/sunset.ts,189,setSunsetPolicy,authedMutation,requireOrgPermission
apps/api/convex/contacts/sunset.ts,322,listSunsetStage,authedQuery,requireOrgPermission
apps/api/convex/contacts/sunset.ts,382,restoreSunsetContact,authedMutation,requireOrgPermission
apps/api/convex/contacts/sunset.ts,408,setSunsetContactExemption,authedMutation,requireOrgPermission
apps/api/convex/contacts/timeline.ts,54,getTimeline,authedQuery,getBetterAuthSessionWithRole; hasPermission
apps/api/convex/contacts/timeline.ts,166,getTimelineStats,authedQuery,
apps/api/convex/delivery/alignmentPreflight.ts,317,getAlignmentArms,authedQuery,
apps/api/convex/delivery/alignmentPreflight.ts,361,getAlignmentReadiness,authedQuery,
apps/api/convex/delivery/checklist.ts,372,getCenter,adminQuery,
apps/api/convex/delivery/checklistAlertManagement.ts,17,acknowledge,adminMutation,
apps/api/convex/delivery/checklistAlertManagement.ts,28,resolve,adminMutation,
apps/api/convex/delivery/checklistLoopback.ts,34,start,authedAction,requires
apps/api/convex/delivery/checklistVerification.ts,129,verifyNow,authedAction,
apps/api/convex/delivery/deliverabilityDashboard.ts,189,getDeliverabilityDashboard,authedQuery,
apps/api/convex/delivery/health.ts,128,getDeliveryHealth,authedQuery,
apps/api/convex/delivery/observabilityStatus.ts,7,get,adminQuery,requireOrgPermission
apps/api/convex/delivery/postmaster.ts,312,getPostmasterStatus,authedQuery,
apps/api/convex/delivery/preferencesHttp.ts,35,verifyPreferenceToken,publicTokenEndpoint,
apps/api/convex/delivery/preferencesHttp.ts,85,updatePreferences,publicTokenEndpoint,
apps/api/convex/delivery/rampControlQueries.ts,203,getRampControls,authedQuery,
apps/api/convex/delivery/rampControlQueries.ts,274,listCellDecisions,authedQuery,
apps/api/convex/delivery/rampControlQueries.ts,325,listRampAdminNotices,authedQuery,
apps/api/convex/delivery/rampControls.ts,183,setCellPause,adminMutation,
apps/api/convex/delivery/rampControls.ts,235,pinCellShare,adminMutation,
apps/api/convex/delivery/rampControls.ts,289,forceAdvanceCellShare,adminMutation,
apps/api/convex/delivery/rampControls.ts,367,setStreamPreset,adminMutation,getMutationContext
apps/api/convex/delivery/rampEnrollment.ts,113,enrollCell,adminMutation,getMutationContext
apps/api/convex/delivery/rampIndependence.ts,218,getIndependenceSummary,authedQuery,
apps/api/convex/delivery/rampPhasePromotion.ts,200,promoteCellPhase,adminMutation,getMutationContext
apps/api/convex/delivery/rampPhaseReset.ts,63,resetCellPhase,adminMutation,
apps/api/convex/delivery/relayReturnPath.ts,451,getReturnPathReadiness,authedQuery,
apps/api/convex/delivery/sends.ts,10,get,authedQuery,
apps/api/convex/delivery/sends.ts,40,getStatsByCampaign,authedQuery,
apps/api/convex/delivery/sends.ts,219,getOpensTimeline,authedQuery,
apps/api/convex/delivery/sends.ts,255,getOpenedContacts,authedQuery,
apps/api/convex/delivery/sends.ts,304,getClickedContacts,authedQuery,
apps/api/convex/delivery/sends.ts,355,getLinkClickStats,authedQuery,
apps/api/convex/delivery/status.ts,59,getStatus,adminQuery,required; requiredEnv; requiredEnvVars
apps/api/convex/delivery/status.ts,102,getProviderFeedbackStatus,adminQuery,
apps/api/convex/delivery/status.ts,169,getTransportSummary,authedQuery,
apps/api/convex/delivery/statusActions.ts,113,sendTest,authedAction,requireOrgPermission; assertOrgAdmin; requirements
apps/api/convex/delivery/trackingHttp.ts,90,trackOpen,httpAction,checkPublicRateLimit
apps/api/convex/delivery/trackingHttp.ts,151,trackClick,httpAction,verifyTrackingSignature; checkPublicRateLimit
apps/api/convex/delivery/unsubscribeHttp.ts,37,handleOneClickUnsubscribe,publicTokenEndpoint,
apps/api/convex/delivery/unsubscribeHttp.ts,107,verifyUnsubscribeToken,publicTokenEndpoint,
